stopwords
i
im
me
my
myself
we
our
ours
ourselves
you
you're
you've
you'll
you'd
your
yours
yourself
yourselves
he
him
his
himself
she
she's
her
hers
herself
it
it's
its
itself
they
them
their
theirs
themselves
what
which
who
whom
this
that
that'll
these
those
am
is
are
was
were
be
been
being
have
has
had
having
do
does
did
doing
a
an
the
and
but
if
or
because
as
until
while
of
at
by
for
with
about
against
between
into
through
during
before
after
above
below
to
from
up
down
in
out
on
off
over
under
again
further
then
once
here
there
when
where
why
how
all
any
both
each
few
more
most
other
some
such
no
nor
not
only
own
same
so
than
too
very
s
t
can
will
just
don
don't
should
should've
now
d
ll
m
o
re
ve
y
ain
aren
aren't
couldn
couldn't
didn
didn't
doesn
doesn't
hadn
hadn't
hasn
hasn't
haven
haven't
isn
isn't
ma
mightn
mightn't
mustn
mustn't
needn
needn't
shan
shan't
shouldn
shouldn't
wasn
wasn't
weren
weren't
won
won't
wouldn
wouldn't
today
like
follow
recast
get
good
join
lets
new
left
back
great
know
nice
done
need
think
guys
people
thank
hello
bro
lol
much
really
right
thats
hot
cool
use
yes
no
also
everyone
something
post
whats
come
many
sure
ill
take
keep
every
well
ive
even
anyone
always
big
made
could
using
feel
never
find
ready
thing
followers
better
let
already
looking
look
say
try
yet
miss
give
coming
getting
last
yeah
fam
happy
hope
days
start
things
gonna
another
please
lot
wait
amazing
users
user
around
week
worth
share
joined
man
following
trying
guy
might
though
since
waiting
actually
less
anything
seems
haha
makes
may
stuff
ago
finally
definitely
everything
end
shit
fuck
damn
lmao
bad
one
first
comment
time
see
got
make
still
want
day
way
cant
going
would
next
real
cast
reply
click
help
hey
nothing
free
love
similar
seem
worked
basically
directly
especially
likely
probably
exactly
totally
fully
currently
usually
absolutely
truly
recently
simply
literally
via
sir
heres
idk
either
omg
thanks
